1,2,3,4,5,6,7,8,9,10,11,12
Description:,Tag,24,Name,Woolsey,Strain,NoTrump,Size,500K,Seed,000:Top=45,

1,2,3,4,5,6,7,8,9,10
,Low,7,8,9,10,11,12,High,Sum

1,2,3,4,5,6,7,8,9,10,11
,Low,7,0,0,0,0,0,0,0,7

1,2,3,4,5,6,7,8,9,10
1300,1,0,0,0,0,0,0,0,1
1325,0,0,0,0,0,0,0,0,0
1350,6,0,0,0,0,0,0,0,6
1375,9,0,0,0,0,0,0,0,9
1400,1,0,0,0,0,0,0,0,1
1425,10,0,0,0,0,0,0,0,10
1450,14,0,0,0,0,0,0,0,14
1475,11,0,0,0,0,0,0,0,11
1500,9,0,0,0,0,0,0,0,9
1525,16,1,0,0,0,0,0,0,17
1550,17,0,0,0,0,0,0,0,17
1575,11,0,0,0,0,0,0,0,11
1600,24,0,0,0,0,0,0,0,24
1625,21,1,0,0,0,0,0,0,22
1650,25,0,1,0,0,0,0,0,26
1675,31,0,0,0,0,0,0,0,31
1700,24,4,0,0,0,0,0,0,28
1725,32,1,0,0,0,0,0,0,33
1750,48,5,0,0,0,0,0,0,53
1775,53,5,2,0,0,0,0,0,60
1800,30,3,1,0,0,0,0,0,34
1825,54,6,2,0,0,0,0,0,62
1850,49,16,7,0,0,0,0,0,72
1875,40,8,4,0,0,0,0,0,52
1900,62,14,1,0,0,0,0,0,77
1925,51,18,6,0,0,0,0,0,75
1950,42,20,7,1,0,0,0,0,70
1975,52,17,9,0,0,0,0,0,78
2000,62,27,17,4,0,0,0,0,110
2025,30,28,12,3,0,0,0,0,73
2050,49,41,14,4,0,0,0,0,108
2075,61,41,20,5,0,0,0,0,127
2100,29,32,16,1,0,0,0,0,78
2125,40,51,33,5,1,0,0,0,130
2150,37,52,43,8,0,1,0,0,141
2175,12,30,27,9,2,1,0,0,81
2200,33,52,37,10,2,0,0,0,134
2225,23,48,44,16,4,0,0,0,135
2250,16,24,28,16,3,0,0,0,87
2275,12,49,42,27,2,0,0,0,132
2300,16,29,62,29,5,0,0,0,141
2325,7,12,38,27,5,0,0,0,89
2350,3,21,47,27,8,1,0,0,107
2375,5,29,60,38,16,2,0,0,150
2400,4,24,35,28,8,2,0,0,101
