Description:,Tag,24,Name,Woolsey,Strain,NoTrump,Size,500K,Seed,000:Top=45,
,Low,7,8,9,10,11,12,High,Sum
,Low,4833,0,0,0,0,0,0,0,4833
1300,473,0,0,0,0,0,0,0,473
1325,503,1,0,0,0,0,0,0,504
1350,399,0,0,0,0,0,0,0,399
1375,586,0,0,0,0,0,0,0,586
1400,474,1,0,0,0,0,0,0,475
1425,506,1,0,0,0,0,0,0,507
1450,711,3,0,0,0,0,0,0,714
1475,629,2,0,0,0,0,0,0,631
1500,412,4,0,0,0,0,0,0,416
1525,782,7,0,0,0,0,0,0,789
1550,856,8,0,0,0,0,0,0,864
1575,513,9,0,0,0,0,0,0,522
1600,752,10,0,0,0,0,0,0,762
1625,945,31,1,0,0,0,0,0,977
1650,656,17,2,0,0,0,0,0,675
1675,715,21,2,0,0,0,0,0,738
1700,894,47,5,0,0,0,0,0,946
1725,673,51,3,0,0,0,0,0,727
1750,904,57,10,1,0,0,0,0,972
1775,849,92,13,1,0,0,0,0,955
1800,629,82,14,1,1,0,0,0,727
1825,898,120,23,2,0,0,0,0,1043
1850,778,156,40,5,0,0,0,0,979
1875,537,153,31,4,0,0,0,0,725
1900,711,195,39,4,0,0,0,0,949
1925,848,231,61,7,1,0,0,0,1148
1950,433,174,60,8,0,0,0,0,675
1975,533,217,68,15,1,0,0,0,834
2000,763,353,152,26,1,0,0,0,1295
2025,384,240,109,25,0,0,0,0,758
2050,402,282,124,29,1,0,0,0,838
2075,518,361,189,40,6,0,0,0,1114
2100,311,284,191,31,3,0,0,0,820
2125,266,318,201,50,7,0,0,0,842
2150,298,342,263,89,11,2,0,0,1005
2175,211,296,235,71,11,1,0,0,825
2200,205,326,286,83,10,1,0,0,911
2225,173,350,335,126,14,2,0,0,1000
2250,111,191,212,116,16,0,0,0,646
2275,100,268,316,142,18,1,0,0,845
2300,92,251,346,176,36,1,0,0,902
2325,53,125,212,157,27,6,0,0,580
2350,32,131,270,163,29,5,0,0,630
2375,54,213,379,254,54,9,1,0,964
2400,26,114,229,187,60,9,0,0,625
2425,8,93,185,159,73,13,0,0,531
2450,11,123,314,288,107,19,0,0,862
2475,14,57,162,185,97,15,0,0,530
2500,5,48,147,192,84,16,0,0,492
2525,4,56,172,256,125,23,1,0,637
2550,4,34,112,196,119,21,1,0,487
2575,2,28,113,188,127,26,3,0,487
