1,2,3,4,5,6,7,8,9,10,11,12,13
,Description:,Tag,24,Name,Woolsey,Strain,NoTrump,Size,500K,Seed,000:Top=45,

1,2,3,4,5,6,7,8,9,10
,Low,7,8,9,10,11,12,High,Sum

1,2,3,4,5,6,7,8,9,10,11
,Low,5,0,0,0,0,0,0,0,5

1,2,3,4,5,6,7,8,9,10
1300,3,0,0,0,0,0,0,0,3
1325,2,0,0,0,0,0,0,0,2
1350,3,0,0,0,0,0,0,0,3
1375,3,0,0,0,0,0,0,0,3
1400,5,0,0,0,0,0,0,0,5
1425,7,0,0,0,0,0,0,0,7
1450,12,0,0,0,0,0,0,0,12
1475,11,0,0,0,0,0,0,0,11
1500,7,0,0,0,0,0,0,0,7
1525,20,0,0,0,0,0,0,0,20
1550,16,1,0,0,0,0,0,0,17
1575,19,1,0,0,0,0,0,0,20
1600,32,0,0,0,0,0,0,0,32
1625,27,2,0,0,0,0,0,0,29
1650,29,1,0,0,0,0,0,0,30
1675,42,2,1,0,0,0,0,0,45
1700,30,4,0,0,0,0,0,0,34
1725,21,1,0,0,0,0,0,0,22
1750,45,5,0,0,0,0,0,0,50
1775,49,2,2,0,0,0,0,0,53
1800,40,7,0,0,0,0,0,0,47
1825,61,8,3,0,0,0,0,0,72
1850,67,8,1,0,0,0,0,0,76
1875,36,13,3,0,0,0,0,0,52
1900,70,12,4,0,0,0,0,0,86
1925,54,18,6,1,0,0,0,0,79
1950,29,12,6,1,0,0,0,0,48
1975,58,35,6,1,0,0,0,0,100
2000,59,31,7,1,1,0,0,0,99
2025,39,22,13,1,0,0,0,0,75
2050,46,30,16,3,0,0,0,0,95
2075,37,43,31,8,0,0,0,0,119
2100,30,36,24,3,1,0,0,0,94
2125,39,47,35,11,3,0,0,0,135
2150,39,42,41,7,1,0,0,0,130
2175,24,38,34,15,1,0,0,0,112
2200,27,39,32,20,1,1,0,0,120
2225,24,45,66,16,0,2,0,0,153
2250,4,18,31,13,4,0,0,0,70
2275,12,43,49,16,5,0,0,0,125
2300,17,38,71,32,8,0,0,0,166
2325,11,24,30,16,6,1,0,0,88
2350,12,25,42,25,5,0,0,0,109
2375,6,39,49,35,12,3,0,0,144
2400,3,15,21,39,8,2,0,0,88
