Description:,Tag,24,Name,Woolsey,Strain,NoTrump,Size,500K,Seed,000:Top=45,
,Low,7,8,9,10,11,12,High,Sum
,Low,4815,0,0,0,0,0,0,0,4815
1300,494,0,0,0,0,0,0,0,494
1325,463,0,0,0,0,0,0,0,463
1350,413,0,0,0,0,0,0,0,413
1375,639,0,0,0,0,0,0,0,639
1400,515,1,0,0,0,0,0,0,516
1425,481,1,0,0,0,0,0,0,482
1450,718,2,0,0,0,0,0,0,720
1475,708,3,0,0,0,0,0,0,711
1500,465,4,0,0,0,0,0,0,469
1525,754,2,0,0,0,0,0,0,756
1550,798,7,1,0,0,0,0,0,806
1575,559,7,0,0,0,0,0,0,566
1600,781,3,2,2,0,0,0,0,788
1625,950,23,3,1,0,0,0,0,977
1650,673,28,2,0,0,0,0,0,703
1675,788,30,3,0,0,0,0,0,821
1700,946,51,5,0,0,0,0,0,1002
1725,735,49,7,1,0,0,0,0,792
1750,853,67,8,0,0,0,0,0,928
1775,854,82,18,1,0,0,0,0,955
1800,638,79,9,0,0,0,0,0,726
1825,872,128,24,1,0,0,0,0,1025
1850,722,149,37,4,0,0,0,0,912
1875,533,139,35,5,0,0,0,0,712
1900,694,199,45,7,0,0,0,0,945
1925,858,268,78,13,1,0,0,0,1218
1950,449,179,66,8,1,0,0,0,703
1975,476,267,80,9,0,0,0,0,832
2000,728,323,125,23,3,0,0,0,1202
2025,365,246,114,22,3,0,0,0,750
2050,383,272,132,27,1,0,0,0,815
2075,497,381,215,45,4,2,0,0,1144
2100,327,277,175,32,4,0,0,0,815
2125,253,326,229,53,6,0,0,0,867
2150,288,339,240,71,8,1,0,0,947
2175,217,264,249,84,11,0,0,0,825
2200,174,339,282,85,11,2,0,0,893
2225,167,320,320,114,19,2,0,0,942
2250,111,202,228,104,20,0,0,0,665
2275,90,250,312,124,23,5,0,0,804
2300,100,253,378,172,37,3,0,0,943
2325,56,158,219,124,30,1,0,0,588
2350,38,158,252,168,34,5,0,0,655
2375,40,200,379,225,58,6,0,0,908
2400,27,99,226,183,53,9,0,0,597
2425,11,72,185,170,46,10,0,0,494
2450,16,104,298,278,90,20,0,0,806
2475,17,73,168,212,87,14,1,0,572
2500,6,36,169,185,90,17,1,0,504
2525,6,46,180,232,106,23,1,0,594
2550,9,39,124,191,117,25,2,0,507
2575,2,30,125,211,105,31,6,1,511
2600,2,20,86,157,138,36,3,0,442
2625,5,10,73,153,132,44,5,0,422
2650,1,10,62,123,108,42,6,0,352
2675,2,11,68,193,148,65,8,0,495
2700,1,2,33,95,108,48,11,0,298
2725,1,3,21,89,98,43,9,0,264
2750,0,10,26,115,136,85,14,0,386
2775,0,3,16,62,96,47,15,0,239
2800,0,1,5,41,76,52,10,1,186
2825,1,1,23,71,129,102,21,0,348
2850,0,1,8,53,80,88,26,2,258
2875,0,0,1,23,50,68,22,1,165
2900,0,1,0,31,67,87,31,2,219
2925,0,0,3,25,75,88,34,2,227
2950,0,0,0,10,41,63,18,1,133
2975,0,0,3,3,54,66,37,4,167
3000,0,0,1,8,45,61,35,3,153
3025,0,0,0,5,20,52,35,4,116
3050,0,0,0,4,23,53,47,4,131
3075,0,0,2,1,15,45,33,1,97
3100,0,0,0,0,7,26,23,5,61
3125,0,0,0,2,14,61,35,1,113
3150,0,0,0,0,3,22,32,4,61
3175,0,0,0,0,1,9,21,3,34
3200,0,0,0,0,5,26,42,14,87
3225,0,0,0,0,0,11,29,3,43
3250,0,0,0,0,1,13,8,7,29
3275,0,0,0,0,0,4,25,12,41
3300,0,0,0,0,0,6,28,5,39
3325,0,0,0,0,0,1,14,5,20
3350,0,0,0,0,0,0,4,2,6
3375,0,0,0,0,0,3,18,7,28
3400,0,0,0,0,0,1,10,8,19
3425,0,0,0,0,0,3,3,4,10
3450,0,0,0,0,0,0,7,6,13
3475,0,0,0,0,0,0,6,1,7
3500,0,0,0,0,0,0,7,8,15
3525,0,0,0,0,0,0,2,3,5
3550,0,0,0,0,0,0,1,7,8
3575,0,0,0,0,0,0,1,3,4
3600,0,0,0,0,0,0,2,7,9
3625,0,0,0,0,0,0,1,2,3
3650,0,0,0,0,0,0,0,0,0
3675,0,0,0,0,0,0,0,4,4
3700,0,0,0,0,0,0,0,0,0
3725,0,0,0,0,0,0,0,0,0
3750,0,0,0,0,0,0,0,3,3
3775,0,0,0,0,0,0,0,3,3
3800,0,0,0,0,0,0,0,0,0
3825,0,0,0,0,0,0,0,0,0
3850,0,0,0,0,0,0,0,0,0
3875,0,0,0,0,0,0,0,0,0
3900,0,0,0,0,0,0,0,0,0
3925,0,0,0,0,0,0,0,0,0
3950,0,0,0,0,0,0,0,0,0
3975,0,0,0,0,0,0,0,0,0
4000,0,0,0,0,0,0,0,0,0
4025,0,0,0,0,0,0,0,0,0
4050,0,0,0,0,0,0,0,0,0
4075,0,0,0,0,0,0,0,0,0
4100,0,0,0,0,0,0,0,0,0
4125,0,0,0,0,0,0,0,0,0
4150,0,0,0,0,0,0,0,0,0
4175,0,0,0,0,0,0,0,0,0
4200,0,0,0,0,0,0,0,0,0
4225,0,0,0,0,0,0,0,0,0
4250,0,0,0,0,0,0,0,0,0
4275,0,0,0,0,0,0,0,0,0
4300,0,0,0,0,0,0,0,0,0
4325,0,0,0,0,0,0,0,0,0
4350,0,0,0,0,0,0,0,0,0
4375,0,0,0,0,0,0,0,0,0
4400,0,0,0,0,0,0,0,0,0
4425,0,0,0,0,0,0,0,0,0
4450,0,0,0,0,0,0,0,0,0
4475,0,0,0,0,0,0,0,0,0
4500,0,0,0,0,0,0,0,0,0
