
Description: Tag 24 Name Woolsey Strain NoTrump Size 500K Seed 000:Top=45 
           Low        7        8        9       10       11       12     High    Sum
 Low         4        0        0        0        0        0        0        0        4
1300         2        0        0        0        0        0        0        0        2
1325         1        0        0        0        0        0        0        0        1
1350         0        0        0        0        0        0        0        0        0
1375         7        0        0        0        0        0        0        0        7
1400         5        0        0        0        0        0        0        0        5
1425        14        0        0        0        0        0        0        0       14
1450        10        0        0        0        0        0        0        0       10
1475         7        0        0        0        0        0        0        0        7
1500        12        0        0        0        0        0        0        0       12
1525        11        0        0        0        0        0        0        0       11
1550        13        0        0        0        0        0        0        0       13
1575        18        0        0        0        0        0        0        0       18
1600        32        0        0        0        0        0        0        0       32
1625        34        2        0        0        0        0        0        0       36
1650        26        0        0        0        0        0        0        0       26
1675        39        2        0        0        0        0        0        0       41
1700        41        3        0        0        0        0        0        0       44
1725        24        0        0        0        0        0        0        0       24
1750        47        4        3        0        0        0        0        0       54
1775        48       10        1        0        0        0        0        0       59
1800        40        3        1        0        0        0        0        0       44
1825        55        8        0        0        0        0        0        0       63
1850        48       14        4        1        0        0        0        0       67
1875        37       14        1        0        0        0        0        0       52
1900        63       19        4        0        0        0        0        0       86
1925        50       22        6        1        0        0        0        0       79
1950        33       15        5        0        0        0        0        0       53
1975        76       22        8        2        1        0        0        0      109
2000        66       37       19        2        0        0        0        0      124
2025        45       21       13        4        0        0        0        0       83
2050        53       38       25        0        0        0        0        0      116
2075        52       40       19        4        2        0        0        0      117
2100        27       27       26        2        0        0        0        0       82
2125        48       56       30       13        1        0        0        0      148
2150        33       38       32       15        0        0        0        0      118
2175        22       33       19       14        4        0        0        0       92
2200        35       45       40       18        4        0        0        0      142
2225        23       43       53       22        3        0        0        0      144
2250        11       31       32       14        3        0        0        0       91
2275        20       30       46       12        2        1        0        0      111
2300        12       36       54       36        5        0        0        0      143
2325         5       25       34       29        6        0        0        0       99
2350         6       28       53       25        7        1        0        0      120
2375        11       28       54       50       11        7        1        0      162
2400         1       12       45       37       12        3        0        0      110
2425         2       20       33       27       17        2        0        0      101
2450         3       25       55       43       14        5        0        0      145
2475         2       10       30       36       16        2        0        0       96
2500         1        7       35       42       15        4        0        0      104
2525         1        8       32       49       25        6        0        0      121
2550         2        2       26       26       36        1        1        0       94
2575         0        3       17       35       32        5        0        0       92
2600         0        3       15       48       21        5        2        0       94
2625         0        1        9       29       19        8        1        0       67
2650         0        2       13       28       20       11        0        0       74
2675         0        0       13       34       33       16        1        0       97
2700         0        0        5       20       27       14        1        0       67
2725         0        0        3       22       28        5        1        0       59
2750         0        1        5       21       30       18        2        0       77
2775         0        1        3       13       29       14        2        1       63
2800         0        0        1        7       22       12        5        0       47
2825         0        1        1       22       35       29        5        0       93
2850         0        0        1       10       23       13        9        0       56
2875         0        0        0        5       18        9        7        0       39
2900         0        0        0       11        9       12        6        0       38
2925         0        0        2        4       12       14       10        0       42
2950         0        0        0        3        9       11        9        0       32
2975         0        0        0        0       11       12       10        0       33
3000         0        0        0        4        3       12       11        0       30
3025         0        0        0        2        8       11       12        0       33
3050         0        0        0        0        4       14       15        2       35
3075         0        0        0        0        2        6       10        1       19
3100         0        0        0        0        0        6        7        1       14
3125         0        0        0        0        4        6       11        0       21
3150         0        0        0        0        0        4        8        1       13
3175         0        0        0        0        0        2        3        0        5
3200         0        0        0        0        1        5        9        7       22
3225         0        0        0        0        0        6        5        2       13
3250         0        0        0        0        1        2        2        0        5
3275         0        0        0        0        0        2        6        3       11
3300         0        0        0        0        0        3       10        3       16
3325         0        0        0        0        0        1        4        1        6
3350         0        0        0        0        0        0        1        1        2
3375         0        0        0        0        0        2        6        2       10
3400         0        0        0        0        0        0        4        3        7
3425         0        0        0        0        0        0        3        2        5
3450         0        0        0        0        0        1        5        2        8
3475         0        0        0        0        0        0        0        3        3
3500         0        0        0        0        0        0        1        4        5
3525         0        0        0        0        0        0        0        2        2
3550         0        0        0        0        0        0        0        2        2
3575         0        0        0        0        0        0        0        0        0
3600         0        0        0        0        0        0        1        2        3
3625         0        0        0        0        0        0        0        1        1
3650         0        0        0        0        0        0        0        0        0
3675         0        0        0        0        0        0        1        0        1
3700         0        0        0        0        0        0        0        0        0
3725         0        0        0        0        0        0        0        0        0
3750         0        0        0        0        0        0        0        0        0
3775         0        0        0        0        0        0        0        1        1
3800         0        0        0        0        0        0        0        0        0
