
Description: Tag 24 Name Woolsey Strain NoTrump Size 500K Seed Unk:Top=45 
           Low        7        8        9       10       11       12     High    Sum
 Low         5        0        0        0        0        0        0        0        5
1300         3        0        0        0        0        0        0        0        3
1325         4        0        0        0        0        0        0        0        4
1350         4        0        0        0        0        0        0        0        4
1375         8        0        0        0        0        0        0        0        8
1400         1        0        0        0        0        0        0        0        1
1425         6        0        0        0        0        0        0        0        6
1450        10        0        0        0        0        0        0        0       10
1475         6        0        0        0        0        0        0        0        6
1500        14        0        0        0        0        0        0        0       14
1525        15        0        2        0        0        0        0        0       17
1550        16        0        0        0        0        0        0        0       16
1575        17        0        0        0        0        0        0        0       17
1600        28        0        0        0        0        0        0        0       28
1625        23        0        0        0        0        0        0        0       23
1650        24        0        0        0        0        0        0        0       24
1675        44        1        0        0        0        0        0        0       45
1700        34        3        0        0        0        0        0        0       37
1725        48        2        1        0        0        0        0        0       51
1750        46        4        1        0        0        0        0        0       51
1775        56        8        1        0        0        0        0        0       65
1800        36        8        2        0        0        0        0        0       46
1825        61        9        4        0        0        0        0        0       74
1850        61       18        5        0        0        0        0        0       84
1875        38        9        3        0        0        0        0        0       50
1900        60       16        5        0        0        0        0        0       81
1925        50       25        7        0        0        0        0        0       82
1950        43       22        9        1        0        0        0        0       75
1975        64       19       11        1        0        0        0        0       95
2000        58       30        4        4        1        0        0        0       97
2025        34       20        7        2        0        0        0        0       63
2050        54       40       18        3        0        0        0        0      115
2075        40       40       25        6        0        0        0        0      111
2100        28       32       18        7        1        0        0        0       86
2125        28       53       28        5        0        0        0        0      114
2150        33       52       27        9        0        0        0        0      121
2175        14       38       22        4        2        0        0        0       80
2200        18       32       37       12        2        0        0        0      101
2225        30       37       44       17        6        0        0        0      134
2250        10       25       31       13        2        0        0        0       81
2275        16       38       44       24        4        0        0        0      126
2300        18       42       60       40        2        0        0        0      162
2325         6       22       33       19        4        1        0        0       85
2350         2       32       41       31        5        1        0        0      112
2375         3       32       50       42       12        2        0        0      141
2400         7       20       32       25        9        1        1        0       95
2425         5       20       31       31        7        4        0        0       98
2450         2       22       42       39       12        4        0        0      121
2475         3       11       26       34       16        1        0        0       91
2500         1        6       38       30       16        3        0        0       94
2525         1       10       31       46       34        7        1        0      130
2550         0        5       23       40       25        4        1        0       98
2575         0        5       26       40       21       12        2        0      106
2600         1        3       19       47       29       13        0        0      112
2625         1        1       15       36       28       12        0        0       93
2650         0        4       19       38       33       14        0        0      108
2675         0        0       16       40       25       17        2        0      100
2700         0        0        7       25       28       12        3        0       75
2725         0        0       11       19       20       12        3        0       65
2750         0        0       10       28       29       24        4        0       95
2775         0        0        3       17       23       14        1        0       58
2800         0        0        1       15       23       15        0        1       55
2825         0        0        3       20       24       18        6        0       71
2850         0        0        0        6       18       21        7        0       52
2875         0        0        0        3       14       15        5        0       37
2900         0        0        0        6       29       17        9        0       61
2925         0        0        0        3       17       29        4        1       54
2950         0        0        0        4        7       16       11        0       38
2975         0        0        0        3        7       15       14        1       40
3000         0        0        0        1        6       15        9        0       31
3025         0        0        0        0        7       14       10        2       33
3050         0        0        0        0        6       14        5        0       25
